iter	Passed	Remaining
0	153	30595
1	155	15370
2	157	10316
3	158	7745
4	159	6209
5	160	5184
6	161	4461
7	162	3904
8	164	3482
9	165	3144
10	166	2858
11	167	2621
12	168	2426
13	170	2259
14	171	2115
15	173	1990
16	173	1872
17	175	1772
18	175	1676
19	177	1596
20	178	1523
21	180	1456
22	181	1396
23	182	1341
24	184	1291
25	185	1244
26	187	1201
27	188	1160
28	190	1123
29	191	1087
30	193	1053
31	194	1022
32	196	991
33	197	964
34	199	938
35	200	913
36	201	889
37	202	863
38	203	841
39	203	815
40	205	798
41	207	779
42	209	763
43	210	747
44	212	730
45	213	716
46	215	701
47	217	687
48	218	673
49	220	660
50	221	647
51	223	635
52	224	623
53	226	612
54	227	600
55	229	589
56	230	577
57	231	567
58	233	557
59	234	547
60	236	538
61	237	529
62	239	521
63	241	512
64	242	504
65	243	494
66	245	486
67	247	479
68	248	472
69	250	464
70	251	457
71	253	450
72	255	444
73	257	438
74	259	431
75	260	425
76	262	419
77	263	412
78	265	406
79	266	400
80	268	394
81	270	388
82	271	383
83	273	377
84	275	372
85	279	369
86	280	364
87	282	359
88	284	354
89	286	349
90	288	345
91	290	341
92	292	336
93	295	332
94	296	328
95	298	323
96	300	318
97	301	313
98	303	309
99	304	304
100	306	300
101	308	296
102	310	292
103	312	288
104	314	284
105	316	280
106	318	276
107	320	272
108	322	268
109	323	264
110	325	261
111	327	257
112	329	253
113	331	249
114	332	246
115	334	242
116	336	238
117	338	235
118	340	231
119	341	227
120	343	224
121	345	220
122	347	217
123	348	213
124	350	210
125	352	206
126	354	203
127	355	200
128	357	196
129	359	193
130	360	190
131	362	186
132	364	183
133	366	180
134	368	177
135	369	174
136	371	170
137	373	167
138	375	164
139	376	161
140	378	158
141	380	155
142	382	152
143	384	149
144	386	146
145	388	143
146	390	140
147	391	137
148	393	134
149	395	131
150	396	128
151	398	125
152	400	123
153	403	120
154	404	117
155	406	114
156	408	111
157	412	109
158	414	106
159	416	104
160	418	101
161	420	98
162	422	95
163	425	93
164	427	90
165	429	87
166	430	85
167	432	82
168	434	79
169	437	77
170	439	74
171	441	71
172	443	69
173	445	66
174	447	63
175	449	61
176	452	58
177	454	56
178	456	53
179	463	51
180	466	48
181	469	46
182	471	43
183	474	41
184	476	38
185	478	36
186	479	33
187	481	30
188	483	28
189	485	25
190	487	22
191	488	20
192	490	17
193	492	15
194	493	12
195	495	10
196	496	7
197	498	5
198	500	2
199	501	0
